,WEDNESDAY  26th,,,,,
17:00,Athletic Bilbao,,,Sevilla,Over 1.5 goals,50
17:00,Atletico Madrid,,,Real Mallorca,Over 1.5 goals,90
17:00,Cadiz,,,Osasuna,Over 1.5 goals,50
17:00,Celta Vigo,,,Elche,Over 1.5 goals,80
17:00,Getafe,,,Almeria,Over 1.5 goals,60
17:00,Girona,,,Real Madrid,Over 1.5 goals,50
17:00,Rayo Vallecano,,,Barcelona,Over 1.5 goals,50
17:00,Real Betis,,,Real Sociedad,Over 1.5 goals,50
17:00,Valencia,,,Real Valladolid,Over 1.5 goals,50
17:00,Villarreal,,,Espanyol,Over 1.5 goals,90
