,SUNDAY 14th,,,,,
14:00,Bologna,,,Roma,Over 1.5 goals,90
14:00,Fiorentina,,,Udinese,Over 1.5 goals,60
14:00,Inter Milan,,,Sassuolo,Over 1.5 goals,90
14:00,Juventus,,,Cremonese,Over 1.5 goals,90
14:00,Lazio,,,Lecce,Over 1.5 goals,60
14:00,Monza,,,Napoli,Over 1.5 goals,60
14:00,Salernitana,,,Atalanta,Over 1.5 goals,60
14:00,Sampdoria,,,Empoli,Over 1.5 goals,50
14:00,Spezia,,,AC Milan,Over 1.5 goals,90
14:00,Verona,,,Torino,Over 1.5 goals,60
