,SATURDAY 13th,,,,,
14:30,Union Berlin,,,SC Freiburg,Over 1.5 goals,90
14:30,Bayern Munich,,,Schalke 04,Away Over 0.5,60
14:30,Bochum,,,SC Augsburg,Over 1.5,50
14:30,B. Dortmund,,,M'gladbach,Over 1.5 goals,55
14:00,Cologne,,,Hertha Berlin,Over 1.5 goals,60
14:30,E. Frankfurt,,,Mainz,2 or Over 2.5,50
14:30,RB Leipzig,,,W. Bremen,X2,50
14:30,Stuttgart,,,B. Leverkusen,Over 1.5,90
14:30,Wolfsburg,,,Hoffenheim,1X,70
