,Saturday 13th,,,,,
12:30,Arsenal,,,Brighton,Over 1.5 goals,60
15:00,Aston Villa,,,Tottenham,1X2 Corner - 2,50
15:00,Brentford,,,West Ham,Over 1.5 goals,60
15:00,Chelsea,,,Nottingham,Over 1.5 goals,80
15:00,Crystal Palace,,,Bournemouth,1 or Over 2.5,50
15:00,Everton,,,Man City,Corners O - 8.5,80
15:00,Leeds,,,Newcastle,2 or Over 2.5,50
20:00,Leicester,,,Liverpool,Over 1.5 goals,70
19:45,Man United,,,Wolves,1X & Under 4.5,60
19:45,Southampton,,,Fulham,1 or GG,60
