,SUNDAY 14th,,,,,
20:00,Brest,,,Auxerre,Over 1.5 goals,50
20:00,Clermont,,,Lyon,Over 1.5 goals,90
20:00,Marseille,,,Angers,Over 1.5 goals,50
20:00,Monaco,,,Lille,Over 1.5 goals,80
20:00,Montpellier,,,Lorient,Over 1.5 goals,90
20:00,PSG,,,AC Ajaccio,Over 1.5 goals,60
20:00,RC Lens,,,Reims,Over 1.5 goals,50
20:00,Rennes,,,Troyes,Over 1.5 goals,50
20:00,Strasbourg,,,Nice,Over 1.5 goals,50
20:00,Toulouse,,,Nantes,Over 1.5 goals,50
