,SUNDAY  28th,,,,,
13:30,AZ Alkmaar,,,PSV Eindhoven,Over 1.5 goals,50
13:30,Cambuur,,,RKC Waalwijk,Over 1.5 goals,90
13:30,FC Twente,,,Ajax,Over 1.5 goals,80
13:30,Utrecht,,,Emmen,Over 1.5 goals,50
13:30,FC Volendam,,,Excelsior,Over 1.5 goals,80
13:30,Feyenoord,,,Vitesse Arnhem,Over 1.5 goals,60
13:30,Fortuna Sittard,,,NEC Nijmegen,Over 1.5 goals,60
13:30,Groningen,,,Sparta Rotherdam,Over 1.5 goals,90
13:30,Heerenveen,,,Go Ahead Eagles,Over 1.5 goals,90
