,SATURDAY 27th,,,,,
14:30,Union Berlin,,,W. Bremen,Over 1.5 goals,90
14:30,Bochum,,,B. Leverkusen,Away Over 0.5,60
14:30,B. Dortmund,,,Mainz,Over 1.5,50
14:30,Cologne,,,Bayern Munich,Over 1.5 goals,55
14:00,E. Frankfurt,,,Freiburg,Over 1.5 goals,60
14:30,M'gladbach,,,FC Augsburg,2 or Over 2.5,50
14:30,RB Leipzig,,,Schalke 04,X2,50
14:30,Stuttgart,,,Hoffenheim,Over 1.5,90
14:30,Wolfsburg,,,Hertha Berlin,1X,70
