,SUNDAY  28th,,,,,
17:00,Almeria,,,Real Valladolid,Over 1.5 goals,50
17:00,Athletic Bilbao,,,Elche,Over 1.5 goals,90
17:00,Atletico Madrid,,,Real Sociedad,Over 1.5 goals,50
17:00,Barcelona,,,Real Mallorca,Over 1.5 goals,80
17:00,Cadiz,,,Celta Vigo,Over 1.5 goals,60
17:00,Getafe,,,Osasuna,Over 1.5 goals,50
17:00,Girona,,,Real Betis,Over 1.5 goals,50
17:00,Rayo Vallecano,,,Villarreal,Over 1.5 goals,50
17:00,Sevilla,,,Real Madrid,Over 1.5 goals,50
17:00,Valencia,,,Espanyol,Over 1.5 goals,90
