,SATURDAY 27st,,,,,
20:00,Angers,,,Troyes,Over 1.5 goals,50
20:00,Clermont,,,Lorient,Over 1.5 goals,90
20:00,Lille,,,Nantes,Over 1.5 goals,50
20:00,Lyon,,,Reims,Over 1.5 goals,80
20:00,Marseille,,,Brest,Over 1.5 goals,90
20:00,Montpellier,,,Nice,Over 1.5 goals,60
20:00,RC Lens,,,AC Ajaccio,Over 1.5 goals,50
20:00,Rennes,,,Monaco,Over 1.5 goals,50
20:00,Strasbourg,,,PSG,Over 1.5 goals,50
20:00,Toulouse,,,Auxerre,Over 1.5 goals,50
