,Saturday 28th,,,,,
12:30,Arsenal,,,Wolves,1,60
15:00,Aston Villa,,,Brighton,Throw-in O - 35.5,50
15:00,Brentford,,,Man City,X HT,60
15:00,Chelsea,,,Newcastle,X or GG,80
15:00,Crystal Palace,,,Nottingham,X or GG,50
15:00,Everton,,,Bournemouth,Over 1.5,80
15:00,Leeds,,,Tottenham,2 or Over 2.5,50
20:00,Leicester,,,West Ham,Over 1.5 goals,70
19:45,Man United,,,Fulham,1,60
19:45,Southampton,,,Liverpool,2,60
