,SUNDAY  28th,,,,,
14:00,Benfica,,,Santa Clara,Over 1.5 goals,80
16:30,FC Porto,,,Vitória Guimarães,Over 1.5 goals,80
16:30,Sporting Braga,,,Paços de Ferreira,Over 1.5 goals,80
16:30,Vizela,,,Sporting Lisbon,Over 1.5 goals,80
