,SUNDAY  28th,,,,,
14:00,Bologna,,,Napoli,Over 1.5 goals,50
14:00,Fiorentina,,,Roma,Over 1.5 goals,90
14:00,Inter Milan,,,Atalanta,Over 1.5 goals,50
14:00,Juventus,,,AC Milan,Over 1.5 goals,80
14:00,Lazio,,,Cremonese,Over 1.5 goals,60
14:00,Monza,,,Lecce,Over 1.5 goals,50
14:00,Salernitana,,,Udinese,Over 1.5 goals,50
14:00,Sampdoria,,,Sassuolo,Over 1.5 goals,50
14:00,Spezia,,,Torino,Over 1.5 goals,50
14:00,Verona,,,Empoli,Over 1.5 goals,90
