,SUNDAY  11th,,,,,
14:00,FC Porto,,,Estoril Praia,Over 1.5 goals,80
16:30,Marítimo,,,Benfica,Over 1.5,80
16:30,Sporting Lisbon,,,Boavista,Over 1.5,80
16:30,Vizela,,,Sporting Braga,Over 1.5,80
