,SUNDAY 9th,,,,,
17:00,Almeria,,,Athletic Bilbao,Over 1.5 goals,50
17:00,Barcelona,,,Atletico Madrid,Over 1.5 goals,90
17:00,Elche,,,Valencia,Over 1.5 goals,50
17:00,Espanyol,,,Cadiz,Over 1.5 goals,80
17:00,Osasuna,,,Real Betis,Over 1.5 goals,90
17:00,Real Madrid,,,Celta Vigo,Over 1.5 goals,60
17:00,Real Mallorca,,,Getafe,Over 1.5 goals,50
17:00,Real Sociedad,,,Rayo Vallecano,Over 1.5 goals,50
17:00,Real Valladolid,,,Girona,Over 1.5 goals,50
17:00,Sevilla,,,Villarreal,Over 1.5 goals,50
