,SATURDAY 22nd,,,,,
15:00,Aberdeen,,,Rangers,Over 7.5 Corners,60
15:00,Celtic,,,Motherwell,GG,60
15:00,Dundee Utd,,,Livingston,Over 1.5,50
15:00,Hearts,,,Ross County,Over 1.5 goals,55
15:00,St. Mirren,,,Kilmarnock,Over 7.5 Corners,50
15:00,St. Johnstone,,,Hibernian,Over 7.5 Corners,50
