,SUNDAY 23rd,,,,,
14:00,AC Milan,,,Lecce,Over 1.5 goals,90
14:00,Atalanta,,,Roma,Over 1.5 goals,60
14:00,Empoli,,,Inter Milan,Over 1.5 goals,90
14:00,Juventus,,,Napoli,Over 1.5 goals,90
14:00,Lazio,,,Torino,Over 1.5 goals,60
14:00,Monza,,,Fiorentina,Over 1.5 goals,60
14:00,Salernitana,,,Sassuolo,Over 1.5 goals,60
14:00,Sampdoria,,,Spezia,Over 1.5 goals,60
14:00,Udinese,,,Cremonese,Over 1.5 goals,50
14:00,Verona,,,Bologna,Over 1.5 goals,90
