,Saturday 22th,,,,,
12:30,Bournemouth,,,West Ham,Over 1.5 goals,60
15:00,Arsenal,,,Southampton,Over 1.5 goals,50
15:00,Brentford,,,Aston Villa,Over 1.5 goals,80
15:00,Brighton,,,Man City,Over 2.5 goals,50
15:00,Crystal Palace,,,Everton,Over 2.5 goals,80
17:30,Fulham,,,Leeds,X2,50
17:30,Leicester,,,Wolves,1X,70
19:30,Liverpool,,,Nottingham,GG,60
20:00,Man United,,,Chelsea,Over 1.5 goals,60
20:00,Newcastle,,,Tottenham,Over 1.5 goals,60
