,SUNDAY 23rd,,,,,
20:00,AC Ajaccio,,,Brest,Over 1.5 goals,50
20:00,Angers,,,PSG,Over 1.5 goals,90
20:00,Auxerre,,,Lille,Over 1.5 goals,50
20:00,Lorient,,,Toulouse,Over 1.5 goals,80
20:00,Lyon,,,Marseille,Over 1.5 goals,90
20:00,Montpellier,,,Rennes,Over 1.5 goals,60
20:00,Nantes,,,Troyes,Over 1.5 goals,50
20:00,Nice,,,Clermont,Over 1.5 goals,50
20:00,RC Lens,,,Monaco,Over 1.5 goals,50
20:00,Reims,,,Strasbourg,Over 1.5 goals,50
