,SUNDAY  1st,,,,,
14:00,Chaves,,,Sporting Braga,Over 1.5 goals,80
16:30,FC Porto,,,Portimonense,Over 1.5,80
16:30,Rio Ave,,,Benfica,Over 1.5,80
16:30,Sporting Lisbon,,,Santa Clara,Over 1.5,80
