,SATURDAY 1st,,,,,
15:00,Hibernian,,,Motherwell,Over 7.5 Corners,60
15:00,Kilmarnock,,,Hearts,Over 7.5 Corners,60
15:00,Rangers,,,Dundee Utd,Over 1.5,50
15:00,Ross County,,,Celtic,Over 1.5 goals,55
15:00,St. Mirren,,,Livingston,1X2 Corner - 1,50
15:00,St. Johnstone,,,Aberdeen,Over 7.5 Corners,50
