,SUNDAY 5th,,,,,
20:00,AC Ajaccio,,,Nantes,X2,50
20:00,Auxerre,,,Reims,Over 1.5 goals,70
20:00,Brest,,,RC Lens,X2,50
20:00,Clermont,,,Monaco,Over 1.5 goals,60
20:00,Lorient,,,Angers,Under 12.5 Corners,90
20:00,Marseille,,,Nice,Over 1.5 goals,60
20:00,PSG,,,Toulouse,1,100
20:00,Rennes,,,Lille,Over 8.5 Corners,50
20:00,Strasbourg,,,Montpellier,Over 1.5 goals,50
20:00,Troyes,,,Lyon,X2 & Under 4.5,60
