,SUNDAY 9th,,,,,
17:00,Athletic Bilbao,,,Real Sociedad,Over 1.5 goals,50
17:00,Atletico Madrid,,,Almeria,Over 1.5 goals,90
17:00,Cadiz,,,Real Madrid,Over 1.5 goals,50
17:00,Celta Vigo,,,Real Mallorca,Over 1.5 goals,80
17:00,Getafe,,,Barcelona,Over 1.5 goals,90
17:00,Girona,,,Elche,Over 1.5 goals,60
17:00,Rayo Vallecano,,,Osasuna,Over 1.5 goals,50
17:00,Real Betis,,,Espanyol,Over 1.5 goals,50
17:00,Valencia,,,Sevilla,Over 1.5 goals,50
17:00,Villarreal,,,Real Valladolid,Over 1.5 goals,50
