,FRIDAY 14th,,,,,
19:00,Excelsior,,,Go Ahead Eagles,Over 1.5 goals,90
,,,,,,
,SATURDAY 15th,,,,,
17:45,FC Waalwijk,,,Groningen,Over 1.5 goals,90
20:00,Sparta Rotterdam,,,Heerenveen,Over 1.5 goals,60
,,,,,,
,SUNDAY 16th,,,,,
11:15,NEC Nijmegen,,,Cambuur,Over 1.5 goals,50
13:30,Cambuur,,,Feyenoord,Over 1.5 goals,90
15:30,FC Utrecht,,,FC Twente,Over 1.5 goals,80
15:45,FC Volendam,,,PSV Eindhoven,Over 1.5 goals,80
15:45,Fortuna Sittard,,,AZ Alkmaar,Over 1.5 goals,50
19:00,Ajax,,,Emmen,Over 1.5 goals,60
