,SUNDAY 16th,,,,,
14:00,Bologna,,,AC Milan,Over 1.5 goals,90
14:00,Cremonese,,,Empoli,Over 1.5 goals,60
14:00,Fiorentina,,,Atalanta,Over 1.5 goals,90
14:00,Inter Milan,,,Monza,Over 1.5 goals,90
14:00,Lecce,,,Sampdoria,Over 1.5 goals,60
14:00,Napoli,,,Verona,Over 1.5 goals,60
14:00,Roma,,,Udinese,Over 1.5 goals,60
14:00,Sassuolo,,,Juventus,Over 1.5 goals,60
14:00,Spezia,,,Lazio,Over 1.5 goals,50
14:00,Torino,,,Salernitana,Over 1.5 goals,90
