,SUNDAY 16th,,,,,
20:00,Auxerre,,,Nantes,Over 1.5 goals,50
20:00,Brest,,,Nice,Over 1.5 goals,90
20:00,Clermont,,,Angers,Over 1.5 goals,50
20:00,Lille,,,Montpellier,Over 1.5 goals,80
20:00,Marseille,,,Troyes,Over 1.5 goals,90
20:00,Monaco,,,Lorient,Over 1.5 goals,60
20:00,PSG,,,RC Lens,Over 1.5 goals,50
20:00,Rennes,,,Reims,Over 1.5 goals,50
20:00,Strasbourg,,,AC Ajaccio,Over 1.5 goals,50
20:00,Toulouse,,,Lyon,Over 1.5 goals,50
