,SATURDAY 15th,,,,,
14:30,Union Berlin,,,Bochum,Over 1.5 goals,90
14:30,Bayern Munich,,,Hoffenheim,Away Over 0.5,60
14:30,Cologne,,,Mainz,Over 1.5,50
14:30,E. Frankfurt,,,M'gladbach,Over 1.5 goals,55
14:30,Leipzig,,,FC Augsburg,2 or Over 2.5,50
14:30,Schalke 04,,,Hertha Berlin,X2,50
14:30,Stuttgart,,,B. Dortmund,Over 1.5,90
14:30,W. Bremen,,,SC Freiburg,1X,70
14:00,Wolfsburg,,,B. Leverkusen,Over 1.5 goals,60
