,SATURDAY 15th,,,,,
15:00,Hibernian,,,Hearts,Over 7.5 Corners,60
15:00,Kilmarnock,,,Celtic,GG,60
15:00,Livingston,,,St. Johnstone,Over 1.5,50
15:00,Motherwell,,,Dundee Utd,Over 1.5 goals,55
15:00,Rangers,,,St. Mirren,Over 7.5 Corners,50
15:00,Ross County,,,Aberdeen,Over 7.5 Corners,50
