,Saturday 15th,,,,,
12:30,Aston Villa,,,Newcastle,Over 1.5 goals,60
15:00,Chelsea,,,Brighton,Over 1.5 goals,50
15:00,Everton,,,Fulham,Over 1.5 goals,80
15:00,Leeds,,,Liverpool,Over 2.5 goals,50
15:00,Man City,,,Leicester,Over 2.5 goals,80
17:30,Nottingham,,,Man United,X2,50
17:30,Southampton,,,Crystal Palace,1X,70
19:30,Tottenham,,,Bournemouth,GG,60
20:00,Westham,,,Arsenal,Over 1.5 goals,60
20:00,Wolves,,,Brentford,Over 1.5 goals,60
