,SUNDAY  16th,,,,,
14:00,Chaves,,,Benfica,Over 1.5 goals,80
16:30,FC Porto,,,Santa Clara,Over 1.5,80
16:30,Sporting Braga,,,Gil Vicente,Over 1.5,80
16:30,Sporting Lisbon,,,Arouca,Over 1.5,80
