,SATURDAY 27st,,,,,
20:00,AC Ajaccio,,,Marseille,Over 1.5 goals,50
20:00,Auxerre,,,RC Lens,Over 1.5 goals,90
20:00,Brest,,,Rennes,Over 1.5 goals,50
20:00,Lorient,,,Strasbourg,Over 1.5 goals,80
20:00,Monaco,,,Toulouse,Over 1.5 goals,90
20:00,Nantes,,,Angers,Over 1.5 goals,60
20:00,Nice,,,Lyon,Over 1.5 goals,50
20:00,PSG,,,Clermont,Over 1.5 goals,50
20:00,Reims,,,Montpellier,Over 1.5 goals,50
20:00,Troyes,,,Lille,Over 1.5 goals,50
