,SUNDAY  28th,,,,,
14:00,AC Milan,,,Verona,Over 1.5 goals,50
14:00,Atalanta,,,Monza,Over 1.5 goals,90
14:00,Cremonese,,,Salernitana,Over 1.5 goals,50
14:00,Empoli,,,Lazio,Over 1.5 goals,80
14:00,Lecce,,,Bologna,Over 1.5 goals,60
14:00,Napoli,,,Sampdoria,Over 1.5 goals,50
14:00,Roma,,,Spezia,Over 1.5 goals,50
14:00,Sassuolo,,,Fiorentina,Over 1.5 goals,50
14:00,Torino,,,Inter Milan,Over 1.5 goals,50
14:00,Udinese,,,Juventus,Over 1.5 goals,90
