,SUNDAY  4th,,,,,
17:00,Celta Vigo,,,Barcelona,Over 1.5 goals,50
17:00,Elche,,,Cadiz,Over 1.5 goals,90
17:00,Espanyol,,,Almeria,Over 1.5 goals,50
17:00,Osasuna,,,Girona,Over 1.5 goals,80
17:00,Real Betis,,,Valencia,Over 1.5 goals,60
17:00,Real Madrid,,,Athletic Bilbao,Over 1.5 goals,50
17:00,Real Mallorca,,,Rayo Vallecano,Over 1.5 goals,50
17:00,Real Sociedad,,,Sevilla,Over 1.5 goals,50
17:00,Real Valladolid,,,Getafe,Over 1.5 goals,50
17:00,Villarreal,,,Atletico Madrid,Over 1.5 goals,90
