,SATURDAY 4th,,,,,
15:00,Dundee Utd,,,Aberdeen,Over 7.5 Corners,60
15:00,Hearts,,,St. Johnstone,,60
15:00,Livingston,,,Hibernian,Over 1.5,50
15:00,Rangers,,,Kilmarnock,1X2 Corner - 1,55
15:00,Ross County,,,Motherwell,1X2 Corner - 1,50
12:00,St Mirren,,,Celtic,X2,50
