,THURSDAY 16th,,,,,
18:45,Bodo/Glimt,,,Lech Poznan,Over 1.5 goals,90
18:45,Braga,,,Fiorentina,Over 1.5 goals,60
18:45,Qarabag,,,AA Gent,Over 1.5 goals,50
18:45,Trabzonspor,,,Basel,Over 1.5 goals,55
21:00,AEK Larnaca,,,Dnipro-1,12,50
21:00,Lazio,,,Cluj,1,50
21:00,Ludogorets,,,Anderlecht,Over 1.5 goals,80
21:00,Sheriff Tiraspol,,,Partizan Belgrade,Over 1.5 goals,50
