,SUNDAY  21st,,,,,
14:00,Boavista,,,Sporting Braga,Over 1.5 goals,80
16:30,FC Famalicão,,,FC Porto,Over 1.5 goals,80
16:30,Sporting Lisbon,,,Benfica,Over 1.5 goals,80
