,SATURDAY 20th,,,,,
14:30,B. leverkusen,,,M'gladbach,Over 1.5 goals,90
14:30,Bayern Munich,,,RB Leipzig,Away Over 0.5,60
14:30,FC Augsburg,,,B. Dortmund,Over 1.5,50
14:30,Hertha Berlin,,,Bochum,Over 1.5 goals,55
14:30,Hoffenheim,,,Union Berlin,2 or Over 2.5,50
14:30,Mainz,,,Stuttgart,X2,50
14:30,SC Freiburg,,,Wolfsburg,Over 1.5,90
14:30,Schalke 04,,,E. Frankfurt,1X,70
14:00,W. Bremen,,,Cologne,Over 1.5 goals,60
