,SUNDAY  21st,,,,,
14:00,AC Milan,,,Sampdoria,Over 1.5 goals,50
14:00,Atalanta,,,Verona,Over 1.5 goals,90
14:00,Cremonese,,,Bologna,Over 1.5 goals,50
14:00,Empoli,,,Juventus,Over 1.5 goals,80
14:00,Lecce,,,Spezia,Over 1.5 goals,60
14:00,Napoli,,,Inter Milan,Over 1.5 goals,50
14:00,Roma,,,Salernitana,Over 1.5 goals,50
14:00,Sassuolo,,,Monza,Over 1.5 goals,50
14:00,Torino,,,Fiorentina,Over 1.5 goals,50
14:00,Udinese,,,Lazio,Over 1.5 goals,90
