,SUNDAY  30th,,,,,
14:00,FC Porto,,,Boavista,Over 1.5 goals,80
16:30,Gil Vicente,,,Benfica,Over 1.5,80
16:30,Sporting Braga,,,Portimonense,Over 1.5,80
16:30,Sporting Lisbon,,,FC Famalicão,Over 1.5,80
