,Saturday 29th,,,,,
12:30,Bournemouth,,,Leeds,Over 1.5 goals,60
15:00,Arsenal,,,Chelsea,1 & GG,50
15:00,Brentford,,,Nottingham,1,60
15:00,Brighton,,,Wolves,Over 1.5 goals,80
15:00,Crystal Palace,,,West Ham,Over 2.5 goals,50
15:00,Fulham,,,Man City,1X2 Corner  - 2,80
15:00,Leicester,,,Everton,Throw-in O - 35.5,50
20:00,Liverpool,,,Tottenham,1X,70
19:45,Man United,,,Aston Villa,1X,60
19:45,Newcastle,,,Southampton,GG,60
