,SUNDAY 30th,,,,,
20:00,Brest,,,Nantes,Over 1.5 goals,50
20:00,Clermont,,,Reims,Over 1.5 goals,90
20:00,Lille,,,AC Ajaccio,Over 1.5 goals,50
20:00,Marseille,,,Auxerre,Over 1.5 goals,80
20:00,Monaco,,,Montpellier,Over 1.5 goals,90
20:00,PSG,,,Lorient,Over 1.5 goals,60
20:00,Rennes,,,Angers,Over 1.5 goals,50
20:00,Strasbourg,,,Lyon,Over 1.5 goals,50
20:00,Toulouse,,,RC Lens,Over 1.5 goals,50
20:00,Troyes,,,Nice,Over 1.5 goals,50
