,SATURDAY 29th,,,,,
14:30,Union Berlin,,,B. Leverkusen,Over 1.5 goals,90
14:30,Bayern Munich,,,Hertha Berlin,Away Over 0.5,60
14:30,Bochum,,,B. Dortmund,Over 1.5,50
14:30,Cologne,,,SC Freiburg,Over 1.5 goals,55
14:30,E. Frankfurt,,,FC Augsburg,2 or Over 2.5,50
14:30,RB Leipzig,,,Hoffenheim,X2,50
14:30,Schalke 04,,,W. Bremen,Over 1.5,90
14:30,Stuttgart,,,M'gladbach,1X,70
14:00,Wolfsburg,,,Mainz,Over 1.5 goals,60
