,SUNDAY 30rd,,,,,
14:00,Bologna,,,Juventus,Over 1.5 goals,90
14:00,Cremonese,,,Verona,Over 1.5 goals,60
14:00,Fiorentina,,,Sampdoria,Over 1.5 goals,90
14:00,Inter Milan,,,Lazio,Over 1.5 goals,90
14:00,Lecce,,,Udinese,Over 1.5 goals,60
14:00,Napoli,,,Salernitana,Over 1.5 goals,60
14:00,Roma,,,AC Milan,Over 1.5 goals,60
14:00,Sassuolo,,,Empoli,Over 1.5 goals,50
14:00,Spezia,,,Monza,Over 1.5 goals,90
14:00,Torino,,,Atalanta,Over 1.5 goals,60
