,SUNDAY  30th,,,,,
17:00,Barcelona,,,Real Betis,Over 1.5 goals,50
17:00,Cadiz,,,Valencia,Over 1.5 goals,90
17:00,Elche,,,Rayo Vallecano,Over 1.5 goals,50
17:00,Espanyol,,,Getafe,Over 1.5 goals,80
17:00,Osasuna,,,Real Sociedad,Over 1.5 goals,60
17:00,Real Madrid,,,Almeria,Over 1.5 goals,50
17:00,Real Mallorca,,,Athletic Bilbao,Over 1.5 goals,50
17:00,Real Valladolid,,,Atletico Madrid,Over 1.5 goals,50
17:00,Sevilla,,,Girona,Over 1.5 goals,50
17:00,Villarreal,,,Celta Vigo,Over 1.5 goals,90
