,SUNDAY 7th,,,,,
14:00,AC Milan,,,Lazio,Over 1.5 goals,90
14:00,Atalanta,,,Juventus,Over 1.5 goals,60
14:00,Cremonese,,,Spezia,Over 1.5 goals,90
14:00,Empoli,,,Salernitana,Over 1.5 goals,90
14:00,Lecce,,,Verona,Over 1.5 goals,60
14:00,Napoli,,,Fiorentina,Over 1.5 goals,60
14:00,Roma,,,Inter Milan,Over 1.5 goals,60
14:00,Sassuolo,,,Bologna,Over 1.5 goals,50
14:00,Torino,,,Monza,Over 1.5 goals,90
14:00,Udinese,,,Sampdoria,Over 1.5 goals,60
