,SUNDAY 7th,,,,,
20:00,AC Ajaccio,,,Toulouse,Over 1.5 goals,50
20:00,Angers,,,Monaco,Over 1.5 goals,90
20:00,Auxerre,,,Clermont,Over 1.5 goals,50
20:00,Lorient,,,Brest,Over 1.5 goals,80
20:00,Lyon,,,Montpellier,Over 1.5 goals,90
20:00,Nantes,,,Strasbourg,Over 1.5 goals,60
20:00,Nice,,,Rennes,Over 1.5 goals,50
20:00,RC Lens,,,Marseille,Over 1.5 goals,50
20:00,Reims,,,Lille,Over 1.5 goals,50
20:00,Troyes,,,PSG,Over 1.5 goals,50
