,Saturday 6th,,,,,
12:30,Bournemouth,,,Chelsea,Over 1.5 goals,60
15:00,Brighton,,,Everton,1 & GG,50
15:00,Fulham,,,Leicester,2 or Over 1.5,60
15:00,Liverpool,,,Brentford,Over 1.5 goals,80
15:00,Man City,,,Leeds,1 or Over 2.5,50
15:00,Newcastle,,,Arsenal,2 or GG,80
15:00,Nottingham,,,Southampton,X or GG,50
20:00,Tottenham,,,Crystal Palace,1X,70
19:45,West Ham,,,Man United,2 or Over 2.5,60
19:45,Wolves,,,Aston Villa,GG or Over 2.5,60
