,SUNDAY  7th,,,,,
14:00,Arouca,,,FC Porto,Over 1.5 goals,80
16:30,Benfica,,,Sporting Braga,Over 1.5,80
16:30,Paços de Ferreira,,,Sporting Lisbon,Over 1.5,80
