,SATURDAY 6th,,,,,
14:30,B. leverkusen,,,Cologne,Over 1.5 goals,90
14:30,B. Dortmund,,,Wolfsburg,Away Over 0.5,60
14:30,FC Augsburg,,,Union Berlin,Over 1.5,50
14:30,Hertha Berlin,,,Stuttgart,Over 1.5 goals,55
14:30,Hoffenheim,,,E. Frankfurt,2 or Over 2.5,50
14:30,Mainz,,,Schalke 04,X2,50
14:30,M'gladbach,,,Bochum,Over 1.5,90
14:30,SC Freiburg,,,RB Leipzig,1X,70
14:00,W. Bremen,,,Bayern Munich,Over 1.5 goals,60
