,THURSDAY 23th,,,,,
17:45,FC Midtjylland,,,Porting Lisbon,Over 1.5 goals,90
17:45,AS Monaco,,,B. Leverkusen,Over 1.5 goals,60
17:45,Nantes,,,Juventus,Over 1.5 goals,50
17:45,PSV Eindhoven,,,Sevilla,Over 1.5 goals,55
20:00,FC Union Berlin,,,Ajax,Over 1.5 goals,50
20:00,Manchester Utd,,,Barcelona,Over 1.5 goals,50
20:00,Rennes,,,Shakhtar Donetsk,Over 1.5 goals,80
20:00,Roma,,,Salzburg,Over 1.5 goals,50
