,THURSDAY 16th,,,,,
17:45,Anderlecht,,,Ludogorets,Over 1.5 goals,90
17:45,Cluj,,,Lazio,Over 1.5 goals,60
17:45,Dnipro-1,,,AEK Larnaca,Over 1.5 goals,50
17:45,Partizan Belgrade,,,Sheriff Tiraspol,Over 1.5 goals,55
20:00,AA Gent,,,Qarabag,Over 1.5 goals,50
20:00,Basel,,,Trabzonspor,Over 1.5 goals,50
20:00,Fiorentina,,,Braga,Over 1.5 goals,80
20:00,Lech Poznan,,,Bodo/Glimt,Over 1.5 goals,50
