,SUNDAY 19th,,,,,
14:00,Benfica,,,Boavista,1,70
16:30,Chaves,,,Sporting Lisbon,X2 & Under 4.5,70
16:30,FC Porto,1,0,Rio Ave,1X & Under 4.5,won
16:30,Sporting Braga,2,0,Arouca,Over 1.5,won
