,SATURDAY 8th,,,,,
11:30,Udinese,,,Monza,1X,60
11:30,Udinese,,,Monza,1X2 Corners - 1,60
13:30,Fiorentina,,,Spezia,Under 3.5 goals,60
13:30,Fiorentina,,,Spezia,HT Under 1.5 goals,60
15:30,Sampdoria,,,Cremonese,Over 1.5 goals,60
17:30,Atalanta,,,Bologna,Over 1.5 goals,50
17:30,Atalanta,,,Bologna,HT Under 5.5 Corners,50
17:30,Torino,,,Roma,X2,90
19:45,Lazio,,,Juventus,HT Under 1.5 goals,50
