,SUNDAY  9th,,,,,
14:00,Benfica,,,FC Porto,Over 1.5 goals,80
16:30,Casa Pia AC,,,Sporting Lisbon,Over 1.5,80
16:30,Sporting Braga,,,Estoril Praia,Over 1.5,80
